Мурманск,154.4,171.061791095565,292465,2019,1894.2,1.83,12.3,1.2
Тамбов,96.58,99.598408612721,291663,2019,3019.91,1.61,10.2,1.1
Благовещенск,320.97,315.163002042725,225810,2019,701.29,1.5,15.1,2.5
Абакан,112.38,112.33384699479,186201,2019,1656.89,1.18,18.3,2.4
Северодвинск,120.51,73.3762094670851,182291,2019,1527.38,1.54,12.6,1.5
Петрозаводск,135,246.441894316865,280170,2019,2075.33,1.45,16.9,1.8
Стерлитамак,108.52,112.174595188088,278127,2019,2562.91,1.54,12.1,1.9
Кострома,144.5,144.43294590548,277280,2018,1910.48,1.51,12.7,1.1
Нижневартовск,271.319,111.757450647814,276503,2019,1019.11,2.14,10.7,1.4
Новороссийск,83.5,53.0676052608098,275197,2019,3393.3,1.64,10.9,1.5
Йошкар-Ола,100.39,87.2995703500385,271868,2019,2708.12,1.16,21.5,3.5
Химки,109.8,109.860475064387,254748,2019,2311.69,2.02,7.7,0.8
Таганрог,95,85.5305432716854,250287,2020,3128.59,1.48,13.3,2
Комсомольск-на-Амуре,325.1,323.544944914063,246607,2019,758.56,1.71,12,1.6
Сыктывкар,152,126.319818043905,244797,2019,1610.51,1.56,16.5,2.5
Нальчик,67,61.0907931440406,239710,2019,3577.76,1.17,24.2,4.2
Нижнекамск,116,116.610921320867,238879,2019,2059.3,1.93,7.2,0.8
Шахты,158.2,160.433446534666,235492,2017,1488.57,1.48,13.3,2
Дзержинск,,35.941271694367,231797,2017,549.89,1.61,9.5,1.2
Братск,428,460.395093420915,227467,2019,531.46,1.36,18.1,2.3
Орск,621.3305,595.102358236824,226638,2019,3654,1.43,13.8,1.9
Энгельс,113.772,113.601363364306,226176,2018,1868.3,1.35,16.2,2.1
Благовещенск,65,25.5215055257299,34967,2019,537.9538461538461,1.54,12.1,1.9
Ангарск,294,125.761581177697,225489,2019,766.97,1.36,18.1,2.3
Королёв,55.47,55.4816349277106,224533,2019,4047.83,2.02,7.7,0.8
Великий Новгород,90.08,95.1224439681553,224297,2019,2489.98,1.49,13.8,1.4
Старый Оскол,200.8,139.558740700042,223809,2019,1114.59,1.76,7.4,0.8
